title_1|artist_1|album_1|row_number_1|fingerprint|title_2|artist_2|album_2|row_number_2|similarities|score
002-Particle/Wave|Lunchbox|Evolver (2002)|12|9|Particle/Wave (Evolver)|Lunchbox|Evolver|161|[62.8307374525788, 71.53037802293586, 79.81034820053446, 79.81034820053446, 50.47800341591237, 55.75182466832112]|0.6290845180027849
002-Particle/Wave|Lunchbox|Evolver (2002)|12|9|Particle/Wave|Lunchbox|Evolver|4709|[80.53819869535295, 80.53819869535295, 79.81034820053446, 79.81034820053446, 50.47800341591237, 55.75182466832112]|0.8652641948072386
002-Particle/Wave|Lunchbox|Evolver (2002)|12|9|Lunchbox - Particle/Wave|nan|Evolver|12660|[65.73061764269782, 69.59712456285652, 8.121390550307526, 8.121390550307526, 50.47800341591237, 55.75182466832112]|0.4148618434393651
Particle/Wave (Evolver)|Lunchbox|Evolver|161|9|Particle/Wave|Lunchbox|Evolver|4709|[66.65230236856796, 70.35520805571062, 79.81034820053446, 79.81034820053446, 75.34030360583935, 75.34030360583935]|0.956588869502498
Particle/Wave (Evolver)|Lunchbox|Evolver|161|9|Lunchbox - Particle/Wave|nan|Evolver|12660|[54.447149034045154, 69.29637149787565, 8.121390550307526, 8.121390550307526, 75.34030360583935, 75.34030360583935]|0.8193255033792746
Particle/Wave|Lunchbox|Evolver|4709|9|Lunchbox - Particle/Wave|nan|Evolver|12660|[64.80084952499662, 68.5037552121393, 8.121390550307526, 8.121390550307526, 75.34030360583935, 75.34030360583935]|0.8795211498019697
019-Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters (2000)|14|4209|Andy Bey and the Bey Sisters - Feeling Good|nan|Andy Bey and the Bey Sisters|8120|[42.20646302495189, 44.12493861699516, 8.572578914213498, 8.572578914213498, 88.67089012923302, 91.65979653808357]|0.7803801053475239
019-Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters (2000)|14|4209|Feeling Good (Andy Bey and the Bey Sisters)|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|8959|[39.32874963688699, 44.12493861699516, 99.63021362835171, 99.63021362835171, 88.67089012923302, 91.65979653808357]|0.9083217270816499
019-Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters (2000)|14|4209|Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|10744|[78.19825601711052, 78.19825601711052, 99.63021362835171, 99.63021362835171, 88.67089012923302, 91.65979653808357]|0.9973472936814896
Andy Bey and the Bey Sisters - Feeling Good|nan|Andy Bey and the Bey Sisters|8120|4209|Feeling Good (Andy Bey and the Bey Sisters)|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|8959|[64.98803312341161, 99.98158942063324, 8.572578914213498, 8.572578914213498, 99.63021362835171, 99.63021362835171]|0.998027661036349
Andy Bey and the Bey Sisters - Feeling Good|nan|Andy Bey and the Bey Sisters|8120|4209|Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|10744|[40.008410055265855, 40.91769210197644, 8.572578914213498, 8.572578914213498, 99.63021362835171, 99.63021362835171]|0.8844328673345168
Feeling Good (Andy Bey and the Bey Sisters)|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|8959|4209|Feeling Good|Andy Bey and the Bey Sisters|Andy Bey and the Bey Sisters|10744|[40.008410055265855, 40.91769210197644, 99.63021362835171, 99.63021362835171, 99.63021362835171, 99.63021362835171]|0.9609789550650577
Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)|Max Bruch|The Classical Album, Volume 1|15|5371|Scottish Fantasy: Adagio cantabile|Max Bruch|The Classical Album, Volume 1|10340|[67.92426328994655, 68.92314951479871, 83.47011117784135, 83.47011117784135, 99.69724452546241, 99.69724452546241]|0.9969562388313516
Scottish Fantasy: Adagio cantabile (The Classical Album, Volume 1)|Max Bruch|The Classical Album, Volume 1|15|5371|Max Bruch - Scottish Fantasy: Adagio cantabile|nan|The Classical Album, Volumee 1|15022|[60.99383659648793, 68.99302828127324, 7.670202186401552, 7.670202186401552, 97.70329963495317, 97.70329963495317]|0.9860639736322506
Scottish Fantasy: Adagio cantabile|Max Bruch|The Classical Album, Volume 1|10340|5371|Max Bruch - Scottish Fantasy: Adagio cantabile|nan|The Classical Album, Volumee 1|15022|[84.9053291124332, 86.9031015621375, 7.670202186401552, 7.670202186401552, 97.70329963495317, 97.70329963495317]|0.9982456432331868
Gimme Dat (remix)|Rye Rye|RYEot powRR|18|13|Gimme Dat (remix) (RYEot powRR)|Rye Rye|RYEot powRR|5543|[68.63049783281684, 68.63049783281684, 75.34030360583935, 75.34030360583935, 88.9196841637666, 88.9196841637666]|0.9893426042758151
AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast))|Gerard Alessandrini|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|19|14|Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life|nan|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|5160|[57.99999998382109, 44.999999987447396, 8.121390550307526, 8.121390550307526, 99.9999626370062, 99.9999626370062]|0.9596693226417301
AmnerisIntro:EveryStoryIsaLoveStory/HeatherHeadley/It'sCheesy:EasyasLife(ForbiddenBroadway2001:ASpoofOdyssey(2001originaloffBroadwaycast))|Gerard Alessandrini|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|19|14|021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life|Gerard Alessandrini|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|9277|[62.999999356835474, 43.99999955080573, 97.76292281438344, 97.76292281438344, 99.9999626370062, 99.9999626370062]|0.9892195621126971
Gerard Alessandrini - Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life|nan|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|5160|14|021-Amneris Intro: Every Story Is a Love Story / Heather Headley / It's Cheesy: Easy as Life|Gerard Alessandrini|Forbidden Broadway 2001: A Spoof Odyssey (2001 original off-Broadway cast)|9277|[87.99999910161146, 87.99999910161146, 8.121390550307526, 8.121390550307526, 99.9999626370062, 99.9999626370062]|0.9988978406384316
CÃ¡llate - Los vaqueros: el regreso: Deluxe Edition|Wisin & Yandel|nan|20|3118|CÃ¡llate (Los vaqueros: el regreso: Deluxe Edition)|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|2932|[95.99643164940633, 99.9962829681316, 93.9189937374782, 93.9189937374782, 4.060695275153763, 4.511883639059736]|0.17564904579576618
CÃ¡llate (Los vaqueros: el regreso: Deluxe Edition)|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|2932|3118|Wisin & Yandel - CÃ¡llate|nan|Los vaqueros: el regreso: Deluxe Edition|5984|[23.83828927202195, 40.723744173037495, 15.791592736709076, 18.047534556238944, 99.96645373720975, 99.96645373720975]|0.7961161480463164
CÃ¡llate (Los vaqueros: el regreso: Deluxe Edition)|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|2932|3118|CÃ¡llate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|15591|[21.548794014144306, 19.15448356812827, 93.9189937374782, 93.9189937374782, 99.96645373720975, 99.96645373720975]|0.7616728660963112
CÃ¡llate (Los vaqueros: el regreso: Deluxe Edition)|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|2932|3118|0006-Callate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition (2011)|18781|[17.276358887501164, 19.094922980922338, 93.9189937374782, 93.9189937374782, 91.96913743823296, 93.96846651297716]|0.5448388864249362
Wisin & Yandel - CÃ¡llate|nan|Los vaqueros: el regreso: Deluxe Edition|5984|3118|CÃ¡llate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|15591|[38.30896713625654, 38.30896713625654, 15.791592736709076, 18.047534556238944, 99.96645373720975, 99.96645373720975]|0.8767940110550241
Wisin & Yandel - CÃ¡llate|nan|Los vaqueros: el regreso: Deluxe Edition|5984|3118|0006-Callate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition (2011)|18781|[34.55271777500233, 35.461999821712915, 15.791592736709076, 18.047534556238944, 91.96913743823296, 93.96846651297716]|0.7041200166066207
CÃ¡llate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition|15591|3118|0006-Callate|Wisin & Yandel|Los vaqueros: el regreso: Deluxe Edition (2011)|18781|[47.886208920320676, 53.47293329435809, 93.9189937374782, 93.9189937374782, 91.96913743823296, 93.96846651297716]|0.9683198523184797
Outro (Working Title)|FeSo|Working Title|21|2151|008-Outro|FeSo|Working Title (2011)|4147|[27.545136688687645, 30.049240024022883, 55.067103588277845, 55.067103588277845, 73.13238732106763, 77.76101942999595]|0.23557673721231742
Outro (Working Title)|FeSo|Working Title|21|2151|FeSo - Outro|nan|Working Title|14032|[27.278461401317628, 30.915589588159975, 0.0, 0.0, 92.57264217856661, 92.57264217856661]|0.5052872398157443
Outro (Working Title)|FeSo|Working Title|21|2151|Outro|FeSo|Working Title|19119|[24.020581235485192, 26.54906347079942, 55.067103588277845, 55.067103588277845, 92.57264217856661, 92.57264217856661]|0.5860842491847319
008-Outro|FeSo|Working Title (2011)|4147|2151|FeSo - Outro|nan|Working Title|14032|[47.57796337136956, 52.586170042040045, 0.0, 0.0, 73.13238732106763, 77.76101942999595]|0.5593361660683996
008-Outro|FeSo|Working Title (2011)|4147|2151|Outro|FeSo|Working Title|19119|[44.880559676827595, 44.880559676827595, 55.067103588277845, 55.067103588277845, 73.13238732106763, 77.76101942999595]|0.6050163545537713
FeSo - Outro|nan|Working Title|14032|2151|Outro|FeSo|Working Title|19119|[37.2951129708849, 42.352077441513366, 0.0, 0.0, 92.57264217856661, 92.57264217856661]|0.748518305798275
10cm|Anemone|10cm|22|15|10cm|Anemone|10cm|15577|[55.067103588277845, 55.067103588277845, 75.34030360583935, 75.34030360583935, 55.067103588277845, 55.067103588277845]|1.0
Al Hirt - Tansy|nan|Greatest Hits|23|2142|Tansy|Al Hirt|G reatest Hits|4130|[31.606027941427882, 35.39875129439923, 0.0, 9.023767278119472, 88.86973649142395, 54.6178588853543]|0.15078813943903518
Al Hirt - Tansy|nan|Greatest Hits|23|2142|Tansy (Greatest Hits)|Al Hirt|Greatest Hits|6560|[26.605962085699808, 65.56469228261739, 0.0, 9.023767278119472, 92.57264217856661, 92.57264217856661]|0.85417289455366
Tansy|Al Hirt|G reatest Hits|4130|2142|Tansy (Greatest Hits)|Al Hirt|Greatest Hits|6560|[24.020581235485192, 26.54906347079942, 75.34030360583935, 75.34030360583935, 88.86973649142395, 54.6178588853543]|0.16357673189993802
Tony Rice - Urge for Going|nan|Night Flyer|26|5498|002-Urge for Going|Tony Rice|Night Flyer (2008)|10565|[66.1419868735841, 65.1693105960314, 7.670202186401552, 7.670202186401552, 67.57895996446263, 72.02494417265095]|0.7812773507284573
Tony Rice - Urge for Going|nan|Night Flyer|26|5498|Urge for Going (Night Flyer)|nan|Night Flyer|13323|[51.71313865012044, 67.62487361938827, 45.11883639059736, 45.11883639059736, 88.9196841637666, 88.9196841637666]|0.9626775815001651
Tony Rice - Urge for Going|nan|Night Flyer|26|5498|Urge for Going|TonyRice|Night Flyer|14014|[65.74329561623475, 69.50005536573387, 8.121390550307526, 8.121390550307526, 88.9196841637666, 88.9196841637666]|0.9725512370016625
002-Urge for Going|Tony Rice|Night Flyer (2008)|10565|5498|Urge for Going (Night Flyer)|nan|Night Flyer|13323|[59.333252930715155, 66.1419868735841, 7.670202186401552, 7.670202186401552, 67.57895996446263, 72.02494417265095]|0.7276140449125452
002-Urge for Going|Tony Rice|Night Flyer (2008)|10565|5498|Urge for Going|TonyRice|Night Flyer|14014|[82.64871448898083, 82.64871448898083, 75.02172730850239, 37.510863654251196, 67.57895996446263, 72.02494417265095]|0.9739115288156337
Urge for Going (Night Flyer)|nan|Night Flyer|13323|5498|Urge for Going|TonyRice|Night Flyer|14014|[62.9257258041104, 65.74329561623475, 8.121390550307526, 8.121390550307526, 88.9196841637666, 88.9196841637666]|0.9623050505860035
En dless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|28|3385|005-Endless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition) (2008)|3748|[76.83529300821029, 63.87512310321096, 99.44834355792392, 99.44834355792392, 93.99713934659721, 94.99710891411421]|0.9963872869874733
En dless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|28|3385|Diana Ross & Lionel Richie - Endless Love|nan|Motown 50: Yesterday, Today, Forever (Japan Edition)|6504|[40.73196255856931, 44.434868245711975, 9.474955642025446, 9.92614400593142, 99.99695675169916, 99.99695675169916]|0.9089457014970547
En dless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|28|3385|Endless Love (Motown 50: Yesterday, Today, Forever (Japan Edition))|Daina Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|9887|[27.77179265356998, 33.32615118428398, 95.47040981560697, 95.47040981560697, 99.99695675169916, 99.99695675169916]|0.9004501345841073
005-Endless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition) (2008)|3748|3385|Diana Ross & Lionel Richie - Endless Love|nan|Motown 50: Yesterday, Today, Forever (Japan Edition)|6504|[44.12493861699516, 47.00265200506006, 9.474955642025446, 9.92614400593142, 93.99713934659721, 94.99710891411421]|0.8804060934451574
005-Endless Love|Diana Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition) (2008)|3748|3385|Endless Love (Motown 50: Yesterday, Today, Forever (Japan Edition))|Daina Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|9887|[27.81789608462738, 35.49179845280045, 95.47040981560697, 95.47040981560697, 93.99713934659721, 94.99710891411421]|0.8469566737292101
Diana Ross & Lionel Richie - Endless Love|nan|Motown 50: Yesterday, Today, Forever (Japan Edition)|6504|3385|Endless Love (Motown 50: Yesterday, Today, Forever (Japan Edition))|Daina Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|9887|[29.991760392900837, 46.98709128221131, 9.474955642025446, 9.92614400593142, 99.99695675169916, 99.99695675169916]|0.8691275194120887
Endless Love (Motown 50: Yesterday, Today, Forever (Japan Edition))|Daina Ross & Lionel Richie|Motown 50: Yesterday, Today, Forever (Japan Edition)|9887|3385|Endless Love - Motown 50: Yesterday, Today, Forever (Japan Edition)|Diana Ross & Lionel Richie|nan|11370|[96.99985303102112, 99.99984848558879, 95.47040981560697, 95.47040981560697, 4.96307200296571, 5.414260366871684]|0.20141234355527718
Tuning|The Doros|Live in Vancouver 1970|31|7301|013T-uning|The Doors|Live in Vancouver 1970 (2010)|3104|[52.41043410658485, 52.41043410658485, 74.2883989482788, 74.2883989482788, 84.9441487683361, 88.89503940872385]|0.9356905358390998
016-Action (interlude)|Hell|Teufelswerk (2009)|32|1396|Action (interlude)|Hell|Teufelswerk|17210|[87.54086497974367, 86.56818870219097, 55.067103588277845, 55.067103588277845, 67.57895996446263, 72.02494417265095]|0.9822783412795771
Thunder Underground|Ozzy Osbourne|Ozzmosis|34|4960|004-Thunder Underground|Ozzy Osbourne|Ozzmosis (2002)|9594|[87.9866305329451, 87.9866305329451, 92.57264217856661, 92.57264217856661, 55.86724374037413, 60.65586463240619]|0.9654023053230483
Mu sÃµber tuul - Uus Laine|Laine|nan|38|519|Mu sÃµber tuul (Uus LaineA)|Laine|Uus Laine|977|[90.49799263771077, 97.45937668676545, 63.212055882855765, 63.212055882855765, 14.88921600889713, 14.88921600889713]|0.23464727973125887
Mu sÃµber tuul (Uus LaineA)|Laine|Uus Laine|977|519|Laine - Mu sÃµber tuul|nan|Uus Laine|4787|[56.3001916255251, 86.91959408852998, 22.55941819529868, 22.55941819529868, 83.47011117784135, 83.47011117784135]|0.9722583817780857
007-A Tout A L'Heure|Bibio|Ministry of Sound: Chillout Sessions XVI (2013)|40|24|Ã€ Tout Ã€ L'Heure|Bibio|Ministry of Sound: Chillout Sessions XVI|10408|[71.97804453890035, 72.95072081645306, 63.212055882855765, 63.212055882855765, 91.96913743823296, 93.96846651297716]|0.994500610725964
CharlyGarcÃ­aNobombardeenBuenosAires|nan|Oro: Grandes Ã©xitos|41|1085|No bombardemen Buenos Aires (Oro: Grandes Ã©xitos)|Charly GarcÃ­a|Oro: Grandes Ã©xitos|2057|[52.96043095215603, 52.96043095215603, 5.414260366871684, 5.865448730777657, 98.16843611112658, 98.16843611112658]|0.9562065402997467
CharlyGarcÃ­aNobombardeenBuenosAires|nan|Oro: Grandes Ã©xitos|41|1085|010-No bombardeen Buenos Aires|Charly Garcia|Oro: Grandes exitos (2003)|14709|[69.82648734763336, 55.861189878106686, 5.414260366871684, 5.414260366871684, 76.57138016667874, 53.99263986111962]|0.621778282549701
No bombardemen Buenos Aires (Oro: Grandes Ã©xitos)|Charly GarcÃ­a|Oro: Grandes Ã©xitos|2057|1085|No bombardeen Buenos Aires - Oro: Grandes Ã©xitos|Chrly GarcÃ­a|nan|8392|[94.99473209805394, 98.99451029165621, 88.86973649142395, 88.86973649142395, 7.670202186401552, 9.023767278119472]|0.21955928323152354
No bombardemen Buenos Aires (Oro: Grandes Ã©xitos)|Charly GarcÃ­a|Oro: Grandes Ã©xitos|2057|1085|010-No bombardeen Buenos Aires|Charly Garcia|Oro: Grandes exitos (2003)|14709|[64.83888110851669, 68.82896609981002, 82.38965153892428, 88.86973649142395, 76.57138016667874, 53.99263986111962]|0.8721887053803796
Lowland Trio - Van mij kan je de pot op|nan|Hollands Glorie: Lowland Trio|42|83|Van mij kan je de pot op|Lowland Trio|Hollands Glorie: Lowland Trio|167|[75.37453922427449, 78.34984998312741, 12.182085825461288, 12.182085825461288, 99.69724452546241, 99.69724452546241]|0.9967247229063577
Lowland Trio - Van mij kan je de pot op|nan|Hollands Glorie: Lowland Trio|42|83|Van mij kan je de pot op (Hollands Glorie: Lowland Trio)|Lowland Trio|Hollands Glorie: Lowland Trrio|18845|[50.97910351607203, 81.96640173172366, 12.182085825461288, 12.182085825461288, 97.70329963495317, 97.70329963495317]|0.988634587234579
Van mij kan je de pot op|Lowland Trio|Hollands Glorie: Lowland Trio|167|83|Van mij kan je de pot op (Hollands Glorie: Lowland Trio)|Lowland Trio|Hollands Glorie: Lowland Trrio|18845|[59.5062151770588, 61.48975568296076, 90.92820467105875, 90.92820467105875, 97.70329963495317, 97.70329963495317]|0.9924556046747773
Van mij kan je de pot op - Hollands Glorie: Lowland Trio|Lowland Trio|nan|18625|83|Van mij kan je de pot op (Hollands Glorie: Lowland Trio)|Lowland Trio|Hollands Glorie: Lowland Trrio|18845|[95.9986872771777, 99.99863258039343, 90.92820467105875, 90.92820467105875, 8.121390550307526, 8.572578914213498]|0.24217598840479368
002-Fried Bananas|Dexter Gordon|Live at the Amsterdam Paradiso (1994)|8007|25|Fried Bananas|Dexter Gordon|Live at the Amsterdam Paradiso|9972|[80.53819869535295, 80.53819869535295, 92.57264217856661, 92.57264217856661, 89.77691230410002, 91.7719547997467]|0.9978492231443024
Power of Dreams - Sky|nan|Become Yourself|44|3059|Sky (Become Yourself)|Power of Dreams|Becomre Yourself|6732|[28.565128272206145, 36.445163657642325, 4.96307200296571, 4.96307200296571, 92.1706543683172, 92.1706543683172]|0.5941056393165461
Power of Dreams - Sky|nan|Become Yourself|44|3059|Sky|Power of Dreams|Become Yourself|16511|[11.27970909764934, 12.182085825461288, 4.96307200296571, 4.96307200296571, 95.0212931632136, 95.0212931632136]|0.20111045187183393
011-Sky|Power of Dreams|Become Yourself (unknown)|5876|3059|Sky (Become Yourself)|Power of Dreams|Becomre Yourself|6732|[15.821463757226264, 23.3554941178102, 95.0212931632136, 95.0212931632136, 70.02435910957927, 73.86131029366581]|0.1230297141121146
011-Sky|Power of Dreams|Become Yourself (unknown)|5876|3059|Sky|Power of Dreams|Become Yourself|16511|[27.071301834358415, 27.071301834358415, 95.0212931632136, 95.0212931632136, 71.26596987241021, 75.06682159893874]|0.25262597921733204
Sky (Become Yourself)|Power of Dreams|Becomre Yourself|6732|3059|Sky|Power of Dreams|Become Yourself|16511|[11.27970909764934, 12.182085825461288, 95.0212931632136, 95.0212931632136, 92.1706543683172, 92.1706543683172]|0.36940591656632
Style Talks (g) (link) (Swing of the City)|Keith Mansfield|Swing of the City|46|5969|Style Talks (g) (link)|Keith Mansfield|Swing of the City|2943|[68.15286354668828, 66.17741822649441, 95.0212931632136, 95.0212931632136, 96.6626730039674, 96.6626730039674]|0.995859679339987
Style Talks (g) (link) (Swing of the City)|Keith Mansfield|Swing of the City|46|5969|Style Talks (g) (link) - Swing of the City|Keith Mansfield|nan|5184|[94.97863760420302, 99.97751326758213, 95.0212931632136, 95.0212931632136, 4.511883639059736, 4.511883639059736]|0.1738633232471676
Style Talks (g) (link) (Swing of the City)|Keith Mansfield|Swing of the City|46|5969|043-Style Talks (g) (link)|Keith Mansfield|Swing of the City (unknown)|15009|[64.64142331265055, 65.63590674822979, 95.0212931632136, 95.0212931632136, 74.4302582130549, 78.29676513321358]|0.9552145162897407
Style Talks (g) (link)|Keith Mansfield|Swing of the City|2943|5969|043-Style Talks (g) (link)|Keith Mansfield|Swing of the City (unknown)|15009|[90.8704847289177, 88.89503940872385, 95.0212931632136, 95.0212931632136, 74.4302582130549, 78.29676513321358]|0.9960380761627141
Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman))|United Citizen Federation|Starship Troopers (feat. Sarah Brightman)|49|7345|United Citizen Federation - Starship Troopers (D-Bop's Saturday Nite radio edit)|nan|Starship Troopers (feat. Sarah Brightman)|7933|[58.99999336042469, 74.9999915598619, 9.474955642025446, 9.474955642025446, 99.97253464300279, 99.97253464300279]|0.9912567088020594
Starship Troopers (D-Bop's Saturday Nite radio edit) (Starship Troopers (feat. Sarah Brightman))|United Citizen Federation|Starship Troopers (feat. Sarah Brightman)|49|7345|Starship Troopers (D-Bop's Saturday Nite radio edit)|United Citizeen Federation|Starship Troopers (feat. Sarah Brightman)|14190|[69.9978697261894, 71.99780886122339, 97.33968119408962, 97.33968119408962, 99.97253464300279, 99.97253464300279]|0.9980855416150397
